web_scraper_order,Address_raw,Rooms,Area,Rent
1763742834-1362,"Spiserstrasse 12, 8047 Zürich",4.5,108.0,4150.0
1763742834-1363,"Uetlibergstrasse 78, 8045 Zürich",1.5,29.0,2090.0
1763742834-1364,"Bühlwiesenstrasse 1, 8052 Seebach",3.0,68.0,1980.0
1763742834-1365,"Birmensdorferstrasse 481, 8055 Zürich",2.5,66.0,2730.0
1763742834-1366,"Albisriederstr. 170, 8003 Zürich",2.5,55.0,2225.0
1763742834-1367,"Widmerstrasse 73b, 8038 Zürich",2.5,74.0,3165.0
1763742834-1368,"Letzistrasse 13A, 8006 Zürich",2.5,54.0,2505.0
1763742834-1369,"Bienenstrasse 5, 8004 Zürich",3.5,73.0,2950.0
1763742834-1370,"Ferdinand Hodler-Str. 26, 8049 Zürich",4.5,79.0,2405.0
1763742834-1371,"Hürstringstrasse 23, 8046 Zürich",4.5,100.0,4400.0
1763742834-1373,"Limmattalstrasse 404/406, 8049 Zürich",2.5,57.0,2165.0
1763742834-1374,"Limmattalstrasse 404/406, 8049 Zürich",3.5,98.0,3265.0
1763742834-1375,"Limmattalstrasse 404/406, 8049 Zürich",4.5,112.0,3795.0
1763742834-1376,"Jungstrasse 8, 8050 Zürich",4.0,102.0,3500.0
1763742834-1377,"Zürichbergstrasse 46, 8044 Zürich",1.0,29.0,1575.0
1763742834-1378,"Schoffelgasse 7, 8001 Zürich",2.5,,2893.0
1763742838-1399,"Wehntalerstr. 521, 8046 Zürich",2.0,55.0,1400.0
1763742838-1400,"Freudenbergstrasse 15, 8044 Zürich",3.5,169.0,6700.0
1763742838-1401,"Käferholzstr. 60, 8057 Zürich",4.5,118.0,4140.0
1763742838-1402,8032 Zürich,3.5,,4450.0
1763742838-1403,"Herrligstrasse 7, 8048 Zürich",1.5,36.0,1970.0
1763742838-1404,"Luegislandstrasse 350, 8051 Zürich",3.5,92.0,3790.0
